Timeblock,Day,Start,End,Start_time,End_time
A1,Monday,8:30 am,9:20 am,08:30:00,09:20:00
U1,Monday,8:30 am,9:45 am,08:30:00,09:45:00
B1,Monday,9:30 am,10:20 am,09:30:00,10:20:00
W1,Monday,10:00 am,11:15 am,10:00:00,11:15:00
C1,Monday,10:30 am,11:20 am,10:30:00,11:20:00
A4,Monday,11:30 am,12:20 pm,11:30:00,12:20:00
U4,Monday,11:30 am,12:45 pm,11:30:00,12:45:00
B4,Monday,12:30 pm,1:20 pm,12:30:00,13:20:00
W4,Monday,1:00 pm,2:15 pm,13:00:00,14:15:00
C4,Monday,1:30 pm,2:20 pm,13:30:00,14:20:00
A7,Monday,2:30 pm,3:20 pm,14:30:00,15:20:00
U7,Monday,2:30 pm,3:45 pm,14:30:00,15:45:00
B7,Monday,3:30 pm,4:20 pm,15:30:00,16:20:00
W7,Monday,4:00 pm,5:15 pm,16:00:00,17:15:00
C7,Monday,4:30 pm,5:20 pm,16:30:00,17:20:00
E4,Monday,6:30 pm,9:30 pm,18:30:00,21:30:00
R4,Monday,6:30 pm,7:45 pm,18:30:00,19:45:00
K1,Tuesday,8:30 am,9:20 am,08:30:00,09:20:00
X1,Tuesday,8:30 am,9:45 am,08:30:00,09:45:00
L1,Tuesday,9:30 am,10:20 am,09:30:00,10:20:00
Z1,Tuesday,10:00 am,11:15 am,10:00:00,11:15:00
A2,Tuesday,10:30 am,11:20 am,10:30:00,11:20:00
K4,Tuesday,11:30 am,12:20 pm,11:30:00,12:20:00
X4,Tuesday,11:30 am,12:45 pm,11:30:00,12:45:00
L4,Tuesday,12:30 pm,1:20 pm,12:30:00,13:20:00
Z4,Tuesday,1:00 pm,2:15 pm,13:00:00,14:15:00
A5,Tuesday,1:30 pm,2:20 pm,13:30:00,14:20:00
K7,Tuesday,2:30 pm,3:20 pm,14:30:00,15:20:00
X7,Tuesday,2:30 pm,3:45 pm,14:30:00,15:45:00
L7,Tuesday,3:30 pm,4:20 pm,15:30:00,16:20:00
Z7,Tuesday,4:00 pm,5:15 pm,16:00:00,17:15:00
A8,Tuesday,4:30 pm,5:20 pm,16:30:00,17:20:00
E5,Tuesday,6:30 pm,9:30 pm,18:30:00,21:30:00
S4,Tuesday,6:30 pm,7:45 pm,18:30:00,19:45:00
B2,Wednesday,8:30 am,9:20 am,08:30:00,09:20:00
W2,Wednesday,8:30 am,9:45 am,08:30:00,09:45:00
C2,Wednesday,9:30 am,10:20 am,09:30:00,10:20:00
O1,Wednesday,10:00 am,11:15 am,10:00:00,11:15:00
K2,Wednesday,10:30 am,11:20 am,10:30:00,11:20:00
B5,Wednesday,11:30 am,12:20 pm,11:30:00,12:20:00
W5,Wednesday,11:30 am,12:45 pm,11:30:00,12:45:00
C5,Wednesday,12:30 pm,1:20 pm,12:30:00,13:20:00
O4,Wednesday,1:00 pm,2:15 pm,13:00:00,14:15:00
K5,Wednesday,1:30 pm,2:20 pm,13:30:00,14:20:00
B8,Wednesday,2:30 pm,3:20 pm,14:30:00,15:20:00
W8,Wednesday,2:30 pm,3:45 pm,14:30:00,15:45:00
C8,Wednesday,3:30 pm,4:20 pm,15:30:00,16:20:00
O7,Wednesday,4:00 pm,5:15 pm,16:00:00,17:15:00
K8,Wednesday,4:30 pm,5:20 pm,16:30:00,17:20:00
E6,Wednesday,6:30 pm,9:30 pm,18:30:00,21:30:00
R5,Wednesday,6:30 pm,7:45 pm,18:30:00,19:45:00
L2,Thursday,8:30 am,9:20 am,08:30:00,09:20:00
Z2,Thursday,8:30 am,9:45 am,08:30:00,09:45:00
A3,Thursday,9:30 am,10:20 am,09:30:00,10:20:00
U2,Thursday,10:00 am,11:15 am,10:00:00,11:15:00
B3,Thursday,10:30 am,11:20 am,10:30:00,11:20:00
L5,Thursday,11:30 am,12:20 pm,11:30:00,12:20:00
Z5,Thursday,11:30 am,12:45 pm,11:30:00,12:45:00
A6,Thursday,12:30 pm,1:20 pm,12:30:00,13:20:00
U5,Thursday,1:00 pm,2:15 pm,13:00:00,14:15:00
B6,Thursday,1:30 pm,2:20 pm,13:30:00,14:20:00
L8,Thursday,2:30 pm,3:20 pm,14:30:00,15:20:00
Z8,Thursday,2:30 pm,3:45 pm,14:30:00,15:45:00
A9,Thursday,3:30 pm,4:20 pm,15:30:00,16:20:00
U8,Thursday,4:00 pm,5:15 pm,16:00:00,17:15:00
B9,Thursday,4:30 pm,5:20 pm,16:30:00,17:20:00
E7,Thursday,6:30 pm,9:30 pm,18:30:00,21:30:00
S5,Thursday,6:30 pm,7:45 pm,18:30:00,19:45:00
C3,Friday,8:30 am,9:20 am,08:30:00,09:20:00
O2,Friday,8:30 am,9:45 am,08:30:00,09:45:00
K3,Friday,9:30 am,10:20 am,09:30:00,10:20:00
X2,Friday,10:00 am,11:15 am,10:00:00,11:15:00
L3,Friday,10:30 am,11:20 am,10:30:00,11:20:00
C6,Friday,11:30 am,12:20 pm,11:30:00,12:20:00
O5,Friday,11:30 am,12:45 pm,11:30:00,12:45:00
K6,Friday,12:30 pm,1:20 pm,12:30:00,13:20:00
X5,Friday,1:00 pm,2:15 pm,13:00:00,14:15:00
L6,Friday,1:30 pm,2:20 pm,13:30:00,14:20:00
C9,Friday,2:30 pm,3:20 pm,14:30:00,15:20:00
O8,Friday,2:30 pm,3:45 pm,14:30:00,15:45:00
K9,Friday,3:30 pm,4:20 pm,15:30:00,16:20:00
X8,Friday,4:00 pm,5:15 pm,16:00:00,17:15:00
L9,Friday,4:30 pm,5:20 pm,16:30:00,17:20:00